HeroID,StringKey,Grade,AtkType,AtkRange,HeroDamage,AtkSpeed,HeroSkill,BlockCost,SaleType,SaleQuantity
01001111,1000001,1,1,1.0,75,2.0,0,1,1,20
01002121,1000002,1,2,2.0,50,2.0,0,1,1,20
01003111,1000003,1,1,1.0,150,1.0,0,1,1,20
01004121,1000004,1,2,2.0,100,1.0,0,1,1,20
01005121,1000005,1,2,2.0,35,3.0,0,1,1,20
01006211,1000006,2,1,1.0,200,2.0,0,1,2,1
01007221,1000007,2,2,2.0,150,2.0,0,1,2,1
01008211,1000008,2,1,1.0,400,1.0,0,1,2,1
01009221,1000009,2,2,2.0,300,1.0,0,1,2,1
01010221,1000010,2,2,2.0,100,3.0,0,1,2,1
01011311,1000011,3,1,1.0,650,2.0,0,1,2,2
01012321,1000012,3,2,2.0,300,3.0,0,1,2,2
01013311,1000013,3,1,1.0,1300,1.0,0,1,2,2
01014321,1000014,3,2,2.0,500,2.0,0,1,2,2
01015311,1000015,3,1,1.0,650,2.0,0,1,2,2
01016421,1000016,4,2,2.0,1000,3.0,0,1,2,4
01017421,1000017,4,2,2.0,1500,2.0,0,1,2,4
01018411,1000018,4,1,1.0,2000,2.0,0,1,2,4
01019411,1000019,4,1,1.0,4000,1.0,0,1,2,4
01020523,1000020,5,2,2.0,2150,3.0,1,3,2,4
01021513,1000021,5,1,1.0,4000,2.0,2,3,2,4
01022513,1000022,5,1,1.0,2700,3.0,3,3,2,4
