WaveID,WaveNumber,MonsterID,MonHpMlt,CreateMonNumber,WaveTime
1301,1,120011,1,20,20
1302,2,120011,1.1,20,20
1303,3,120011,1.2,20,20
1304,4,120021,1.3,20,20
1305,5,120021,1.4,20,20
1306,6,120021,1.5,20,20
1307,7,120031,1.6,20,20
1308,8,120031,1.7,20,20
1309,9,120031,1.8,20,20
1310,10,120263,1,1,60
1311,11,120041,2,20,20
1312,12,120041,2.2,20,20
1313,13,120041,2.4,20,20
1314,14,120051,2.6,20,20
1315,15,120051,2.8,20,20
1316,16,120051,3,20,20
1317,17,120061,3.2,20,20
1318,18,120061,3.4,20,20
1319,19,120061,3.6,20,20
1320,20,120273,1,1,60
1321,21,120071,3.8,20,20
1322,22,120071,4,20,20
1323,23,120071,4.2,20,20
1324,24,120081,4.4,20,20
1325,25,120081,4.6,20,20
1326,26,120081,4.8,20,20
1327,27,120091,5,20,20
1328,28,120091,5.2,20,20
1329,29,120091,5.4,20,20
1330,30,120283,1,1,60
1331,31,120101,5.6,20,20
1332,32,120101,5.8,20,20
1333,33,120101,6,20,20
1334,34,120111,6.2,20,20
1335,35,120111,6.4,20,20
1336,36,120111,6.6,20,20
1337,37,120121,6.8,20,20
1338,38,120121,7,20,20
1339,39,120121,7.2,20,20
1340,40,120293,1,1,60
1341,41,120141,7.2,20,20
1342,42,120141,7.4,20,20
1343,43,120141,7.6,20,20
1344,44,120151,7.8,20,20
1345,45,120151,8,20,20
1346,46,120151,8.2,20,20
1347,47,120161,8.4,20,20
1348,48,120161,8.6,20,20
1349,49,120161,8.8,20,20
1350,50,120303,1,1,60
1351,51,120171,9,20,20
1352,52,120171,9.2,20,20
1353,53,120171,9.4,20,20
1354,54,120181,9.6,20,20
1355,55,120181,9.8,20,20
1356,56,120181,10,20,20
1357,57,120191,10.2,20,20
1358,58,120191,10.4,20,20
1359,59,120191,10.6,20,20
1360,60,120313,1,1,60
1361,61,120201,10.8,20,20
1362,62,120201,11,20,20
1363,63,120201,11.5,20,20
1364,64,120211,12,20,20
1365,65,120211,12.5,20,20
1366,66,120211,13,20,20
1367,67,120221,13.5,20,20
1368,68,120221,14,20,20
1369,69,120221,14.5,20,20
1370,70,120323,1,1,60
1371,71,120231,15,20,20
1372,72,120231,15.5,20,20
1373,73,120231,16,20,20
1374,74,120241,16.5,20,20
1375,75,120241,17,20,20
1376,76,120241,17.5,20,20
1377,77,120251,18,20,20
1378,78,120251,18.5,20,20
1379,79,120251,19,20,20
1380,80,120333,1,1,60
