StringKey,KorString,EngString
2000001,산적,Thief
2000002,물의 정령,WaterSp
2000003,야만인,Warrior
2000004,투척병,Dina
2000005,궁수,Archer
2000006,악마병사,Devil
2000007,샌드맨,Sandman
2000008,성기사,HolyKnight
2000009,충격로봇,ShockBot
2000010,레인저,Ranger
2000011,늑대전사,Wolf
2000012,독수리장군,Eagle
2000013,사냥꾼,Hunter
2000014,나무,TreeSp
2000015,전기로봇,ElecBot
2000016,보안관,Sheriff
2000017,폭풍거인,Storme
2000018,호랑이사부,TigerShifu
2000019,워머신,Warmachine
2000020,닌자,Ninja
2000021,블롭,Bluff
2000022,랜슬롯,Lancelot
2000023,일반형 몬스터1,Normal Monster1
2000024,일반형 몬스터2,Normal Monster2
2000025,일반형 몬스터3,Normal Monster3
2000026,일반형 몬스터4,Normal Monster4
2000027,일반형 몬스터5,Normal Monster5
2000028,일반형 몬스터6,Normal Monster6
2000029,일반형 몬스터7,Normal Monster7
2000030,일반형 몬스터8,Normal Monster8
2000031,일반형 몬스터9,Normal Monster9
2000032,일반형 몬스터10,Normal Monster10
2000033,일반형 몬스터11,Normal Monster11
2000034,일반형 몬스터12,Normal Monster12
2000035,일반형 몬스터13,Normal Monster13
2000036,일반형 몬스터14,Normal Monster14
2000037,일반형 몬스터15,Normal Monster15
2000038,일반형 몬스터16,Normal Monster16
2000039,일반형 몬스터17,Normal Monster17
2000040,일반형 몬스터18,Normal Monster18
2000041,일반형 몬스터19,Normal Monster19
2000042,일반형 몬스터20,Normal Monster20
2000043,일반형 몬스터21,Normal Monster21
2000044,일반형 몬스터22,Normal Monster22
2000045,일반형 몬스터23,Normal Monster23
2000046,일반형 몬스터24,Normal Monster24
2000047,일반형 몬스터25,Normal Monster25
2000048,보스 몬스터 1,Boss Monster 1
2000049,보스 몬스터 2,Boss Monster 2
2000050,보스 몬스터 3,Boss Monster 3
2000051,보스 몬스터 4,Boss Monster 4
2000052,보스 몬스터 5,Boss Monster 5
2000053,보스 몬스터 6,Boss Monster 6
2000054,보스 몬스터 7,Boss Monster 7
2000055,보스 몬스터 8,Boss Monster 8
2000056,,
2000057,,
2000058,,
2000059,,
2000060,,
